source_key,source_table,parquet_name,rows,status,error,written_at
_001_2011_08_agosto_previs_o_de_conclus_o_e_entrega_far_modelo.csv,001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo,001_2011_08_agosto_previsão_de_conclusão_e_entrega_far_modelo.parquet,69,success,,2026-08-31T08:19:46.252764+00:00
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras.csv,bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras.parquet,1022,success,,2026-08-31T08:19:46.435718+00:00
caixa_001_2015_01_janeiro_bases_relat_rio_executivo_31012015.csv,caixa_001_2015_01_janeiro_bases_relatório_executivo_31012015,caixa_001_2015_01_janeiro_bases_relatório_executivo_31012015.parquet,36597,success,,2026-08-31T08:20:27.328688+00:00
_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd.csv,_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd,_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012_base_bd.parquet,8208,success,,2026-08-31T08:21:47.642901+00:00
_001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_201.csv,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012,001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012.parquet,442,success,,2026-08-31T08:21:47.821876+00:00
_001_2012_04_abril_2012_04_18_5c_base_contrata__o_pf_18042012.csv,_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012.parquet,33914,success,,2026-08-31T08:22:24.321269+00:00
_001_2012_10_outubro_20121009_bases_relat_rio_executivo_0910201.csv,001_2012_10_outubro_20121009_bases_relatório_executivo_0910201,001_2012_10_outubro_20121009_bases_relatório_executivo_0910201.parquet,18244,success,,2026-08-31T08:24:13.791098+00:00
_001_2012_10_outubro_20121009_bases_relat_rio_executivo_1610201.csv,001_2012_10_outubro_20121009_bases_relatório_executivo_1610201,001_2012_10_outubro_20121009_bases_relatório_executivo_1610201.parquet,18352,success,,2026-08-31T08:25:29.873289+00:00
_001_2012_11_novembro_sintese_20121128_evento_1_milhao_entregas.csv,_001_2012_11_novembro_sintese_20121128_evento_1_milhao_entregas,_001_2012_11_novembro_sintese_20121128_evento_1_milhao_entregas.parquet,44,success,,2026-08-31T08:25:31.964612+00:00
_011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___c_pi.csv,011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi,011_12_dezembro_pmcmv_relatorio_executivo_31122011_base___cópi.parquet,7032,success,,2026-08-31T08:25:47.040337+00:00
_018_int040_ministeriocidades_far_caixa_empreendimentos_2018100.csv,018_int040_ministeriocidades_far_caixa_empreendimentos_20181001,018_int040_ministeriocidades_far_caixa_empreendimentos_20181001.parquet,8224,success,,2026-08-31T08:26:17.135533+00:00
_024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b.csv,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb.parquet,11724,success,,2026-08-31T08:26:18.481249+00:00
_1_2018_int054_ministeriocidades_far_bb_empreendimentos_2018083.csv,1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831,1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831.parquet,404,success,,2026-08-31T08:28:23.312108+00:00
_202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b.csv,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb.parquet,11818,success,,2026-08-31T08:28:26.647009+00:00
