"table_name","formacao","confidence","notes"
b_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_bd,cabecalho_composto_2,medium,""
bb_2011_01_janeiro_rel_11jan2011,sub_tabelas_3,high,""
bb_2011_01_janeiro_rel_25jan2011,sub_tabelas_3,high,""
bb_2011_02_fevereiro_dados_22022011,cabecalho_na_primeira_linha_2,high,""
bb_2011_02_fevereiro_relatório_mcmv_bb_01_02_2011,sub_tabelas_3,high,""
bb_2011_02_fevereiro_relatório_mcmv_bb_08_02_2011,sub_tabelas_3,high,""
bb_2011_02_fevereiro_relatório_mcmv_bb_16_02_2011,sub_tabelas_3,high,""
bb_2011_03_março_relatorio_min_cidades___22mar11,sub_tabelas_3,high,""
bb_2011_04_abril_relatorio_min_cidades___18abr11,sub_tabelas_3,high,""
bb_2011_04_abril_relatorio_min_cidades___26abr11,sub_tabelas_3,high,""
bb_2011_05_maio_relatorio_min_cidades___03mai11,sub_tabelas_3,high,""
bb_2011_05_maio_relatorio_min_cidades___10mai11,sub_tabelas_3,high,""
bb_2011_05_maio_relatorio_min_cidades___17mai11,sub_tabelas_3,high,""
bb_2011_05_maio_relatorio_min_cidades___24mai11,sub_tabelas_3,high,""
bb_2011_06_junho_relatorio_min_cidades___07jun11,sub_tabelas_3,high,""
bb_2011_07_julho_relatorio_min__cidades_19jul11,sub_tabelas_3,high,""
bb_2011_07_julho_relatorio_min_cidades___12jul11,sub_tabelas_3,high,""
bb_2011_08_agosto_balanço_23_08_2011_min__planejamento,cabecalho_na_terceira_linha_2,high,""
bb_2011_08_agosto_relatorio_min__cidades_16ago11,cabecalho_composto_2,medium,""
bb_2011_08_agosto_relatorio_min__cidades_30ago11,cabecalho_composto_2,medium,""
bb_2011_09_setembro_relatorio_min__cidades_13set11_2,cabecalho_composto_2,medium,""
bb_2011_10_outubro_relatorio_min__cidades_04out11,cabecalho_composto_2,medium,""
bb_2011_10_outubro_relatorio_min__cidades_11out11,cabecalho_composto_2,medium,""
bb_2011_10_outubro_relatorio_min__cidades_18out11,cabecalho_composto_2,medium,""
bb_2011_10_outubro_relatorio_min__cidades_25out11,cabecalho_composto_2,medium,""
bb_2012_01_janeiro_relatorio_min__cidades_17jan12,cabecalho_composto_2,medium,""
bb_2012_01_janeiro_relatorio_min__cidades_24jan12,cabecalho_composto_2,medium,""
bb_2012_01_janeiro_relatorio_min__cidades_31_01_2012,cabecalho_composto_2,medium,""
bb_2012_01_janeiro_relatorio_min_cidades_03_jan_12,cabecalho_composto_2,medium,""
bb_2012_02_fevereiro_relatorio_min__cidades_06_02_2012,cabecalho_composto_2,medium,""
bb_2012_02_fevereiro_relatorio_min__cidades_28_02_2012,cabecalho_composto_2,medium,""
bb_2012_03_março_relatorio_min__cidades_06_03_2012,cabecalho_composto_2,medium,""
bb_2012_03_março_relatorio_min__cidades_13_03_2012,cabecalho_composto_2,medium,""
bb_2012_03_março_relatorio_min__cidades_20_03_2012,cabecalho_composto_2,medium,""
bb_2012_03_março_relatorio_min__cidades_27_03_2012,cabecalho_composto_2,medium,""
bb_2012_04_abril_cópia_de_rel_min_cidades_valores_25_04_2012_b,cabecalho_composto_2,medium,""
bb_2012_04_abril_rel_min_cidades_valores_25_04_2012,cabecalho_composto_2,medium,""
bb_2012_04_abril_rel_min_cidades_valores_25_04_2012_bd,cabecalho_composto_2,medium,""
bb_2012_04_abril_relatorio_min__cidades_03_04_2012,cabecalho_composto_2,medium,""
bb_2012_05_maio_relatorio_min__cidades_08_05_2012,cabecalho_composto_2,medium,""
bb_2012_05_maio_relatorio_min__cidades_08_05_2012_bd,cabecalho_composto_2,medium,""
bb_2012_05_maio_relatorio_min__cidades_15_05_2012,cabecalho_composto_2,medium,""
bb_2012_05_maio_relatorio_min__cidades_15_05_2012_bd,cabecalho_composto_2,medium,""
bb_2012_05_maio_relatorio_min__cidades_21_05_2012,cabecalho_composto_2,medium,""
bb_2012_05_maio_relatorio_min__cidades_21_05_2012___bd,cabecalho_composto_2,medium,""
bb_2012_05_maio_relatorio_min__cidades_28_05_2012,cabecalho_composto_2,medium,""
bb_2012_05_maio_relatorio_min__cidades_28_05_2012_ctr_caixa_bb,cabecalho_composto_2,medium,""
bb_2012_05_maio_relatorio_min__cidades_31_05_2012,cabecalho_composto_2,medium,""
bb_2012_05_maio_relatorio_min__cidades_31_05_2012_bd,cabecalho_composto_2,medium,""
bb_2012_05_maio_z_relatorio_caixa_3105a,bem_formada,high,""
bb_2012_06_junho_relatorio_min__cidades_04_06_2012,cabecalho_composto_2,medium,""
bb_2012_06_junho_relatorio_min__cidades_18_06_2012,cabecalho_composto_2,medium,""
bb_2012_06_junho_relatorio_min__cidades_18_06_2012_ret,cabecalho_composto_2,medium,""
bb_2012_06_junho_relatorio_min__cidades_26_06_2012,cabecalho_composto_2,medium,""
bb_2012_07_julho_relatorio_min__cidades_03_07_2012,cabecalho_composto_2,medium,""
bb_2012_07_julho_relatorio_min__cidades_09_07_2012,cabecalho_composto_2,medium,""
bb_2012_07_julho_relatorio_min__cidades_17_07_2012,cabecalho_composto_2,medium,""
bb_2012_07_julho_relatorio_min__cidades_24_07_2012,cabecalho_composto_2,medium,""
bb_2012_07_julho_relatorio_min__cidades_30_07_2012,cabecalho_composto_2,medium,""
bb_2012_08_agosto_relatorio_min__cidades_07_08_2012__1,cabecalho_composto_2,medium,""
bb_2012_08_agosto_relatorio_min__cidades_14_08_2012,cabecalho_composto_2,medium,""
bb_2012_08_agosto_relatorio_min__cidades_21_08_2012,cabecalho_composto_2,medium,""
bb_2012_08_agosto_relatorio_min__cidades_27_08_2012__1,cabecalho_composto_2,medium,""
bb_2012_08_agosto_relatorio_min__cidades_31_08_2012,cabecalho_composto_2,medium,""
bb_2012_09_setembro_relatorio_min__cidades_01_10_2012,cabecalho_composto_2,medium,""
bb_2012_09_setembro_relatorio_min__cidades_11_09_2012,cabecalho_composto_2,medium,""
bb_2012_10_outubro_entrada_bb_20121023,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_10_outubro_entrada_bb_20121031,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_10_outubro_entrada_bb_20121031_ajustada,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_10_outubro_relatorio_min__cidades_09_10_2012,cabecalho_composto_2,medium,""
bb_2012_10_outubro_relatorio_min__cidades_23_10_2012,cabecalho_composto_2,medium,""
bb_2012_11_novembro_entrada_bb_20121106,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_11_novembro_entrada_bb_20121113,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_11_novembro_entrada_bb_20121119,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_11_novembro_entrada_bb_20121127,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_11_novembro_entrada_bb_20121127v2,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_11_novembro_entrada_bb_20121130,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_12_dezembro_entrada_bb_20121210,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_12_dezembro_entrada_bb_20121217,bem_formada,medium,inconsistência de tipos entre colunas
bb_2012_12_dezembro_entrada_bb_20121228,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_01_janeiro_entrada_bb_20130107,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_01_janeiro_entrada_bb_20130113,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_01_janeiro_entrada_bb_20130121,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_01_janeiro_entrada_bb_20130128,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_02_fevereiro_entrada_bb_20130205,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_02_fevereiro_entrada_bb_20130219,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_02_fevereiro_entrada_bb_20130226,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_02_fevereiro_propostas_bb,cabecalho_composto_1,high,""
bb_2013_03_marco_entrada_bb_20130305,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_03_marco_entrada_bb_20130318,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_03_marco_entrada_bb_20130401,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_03_marco_entrada_bb_20130415,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_04_abril_entrada_bb_20130429,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_05_maio_entrada_bb_20130506,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_05_maio_entrada_bb_20130513,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_06_junho_entrada_bb_20130604,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_06_junho_entrada_bb_20130618,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_06_junho_entrada_bb_20130630,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,vazia,low,diverge de referência autoritativa: era separador_|
bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,dados_sem_utilidade,high,""
bb_2013_06_junho_pmcmv_18062013_tab_beneficiarios_fgts,bem_formada,high,""
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,vazia,low,diverge de referência autoritativa: era separador_|
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pf_fgts,bem_formada,high,""
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,vazia,low,diverge de referência autoritativa: era separador_|
bb_2013_06_junho_pmcmv_18062013_tab_empreendimentos,bem_formada,high,""
bb_2013_06_junho_pmcmv_18062013_tab_operacoes,bem_formada,high,""
bb_2013_06_junho_pmcmv_18062013_tab_proponentes,vazia,low,diverge de referência autoritativa: era separador_|
bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,vazia,low,diverge de referência autoritativa: era separador_|
bb_2013_07_julho_entrada_bb_20130716,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_08_agosto_entrada_bb_20130802,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_08_agosto_entrada_bb_20130819,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_08_agosto_entrada_bb_20130904,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_10_outubro_entrada_bb_20131105,bem_formada,medium,inconsistência de tipos entre colunas
bb_2013_11_novembro_entrada_bb_20131120,bem_formada,high,""
bb_2013_11_novembro_entrada_bb_20131204,bem_formada,high,""
bb_2013_12_dezembro_entrada_bb_20131218,bem_formada,high,""
bb_2013_12_dezembro_entrada_bb_20131223__aux_bb_far,bem_formada,high,""
bb_2013_12_dezembro_entrada_bb_20140102,bem_formada,high,""
bb_2014_01_janeiro_entrada_bb_20140116,bem_formada,high,""
bb_2014_02_fevereiro_entrada_bb_20140217,bem_formada,high,""
bb_2014_02_fevereiro_entrada_bb_20140306,bem_formada,high,""
bb_2014_03_marco_entrada_bb_20140401,bem_formada,high,""
bb_2014_04_abril_entrada_bb_20140415,bem_formada,high,""
bb_2014_04_abril_entrada_bb_20140430,bem_formada,high,""
bb_2014_05_maio_entrada_bb_20140516,bem_formada,high,""
bb_2014_05_maio_entrada_bb_20140530,bem_formada,high,""
bb_2014_06_junho_entrada_bb_20140615,bem_formada,high,""
bb_2014_06_junho_entrada_bb_20140625,bem_formada,high,""
bb_2014_06_junho_entrada_bb_20140701,bem_formada,high,""
bb_2014_07_julho_entrada_bb_20140731,bem_formada,high,""
bb_2014_08_agosto_entrada_bb_20140818_antigo,bem_formada,high,""
bb_2014_08_agosto_entrada_bb_20140829_antigo,bem_formada,high,""
bb_2014_09_setembro_entrada_bb_20140930,bem_formada,high,""
bb_2014_10_outubro_2014_10_30_min_cidades_pf_pf,bem_formada,high,""
bb_2014_10_outubro_2014_10_30_min_cidades_pj,bem_formada,high,""
bb_2014_10_outubro_2014_10_30_min_cidades_pj_pf,bem_formada,high,""
bb_2014_10_outubro_2014_10_30_pnhr_30102014,bem_formada,high,""
