table_name,status,n_rows,n_cols,profile,institution,report_date,missing_pct,encoding_issues,date_parse_errors,type_coercion_warnings,error
bb_2013_04_abril_entrada_bb_20130429,treated,552,34,colunar_denso,bb,2013-04-29,3.0051150895140664,,,,
bb_2013_05_maio_entrada_bb_20130506,treated,580,34,colunar_denso,bb,2013-05-06,7.657200811359026,,,,
bb_2013_05_maio_entrada_bb_20130513,treated,580,34,colunar_denso,bb,2013-05-13,6.561866125760648,,,,
bb_2013_06_junho_entrada_bb_20130604,treated,680,34,colunar_denso,bb,2013-06-04,2.9930795847750864,,,,
bb_2013_06_junho_entrada_bb_20130618,treated,680,34,colunar_denso,bb,2013-06-18,2.9930795847750864,,,,
bb_2013_06_junho_entrada_bb_20130630,treated,680,34,colunar_denso,bb,2013-06-30,2.9930795847750864,,,,
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,treated,200,21,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,treated,2,6,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_06_junho_pmcmv_18062013_tab_beneficiarios_fgts,treated,30552,16,colunar_denso,bb,2013-06-01,1.4806722964126735,,,,
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,treated,146,20,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pf_fgts,treated,38232,30,colunar_denso,bb,2013-06-01,2.3271953686266307,,,,
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_06_junho_pmcmv_18062013_tab_empreendimentos,treated,1374,7,lookup,bb,2013-06-01,0.0,,,,
bb_2013_06_junho_pmcmv_18062013_tab_operacoes,treated,1338,34,colunar_denso,bb,2013-06-01,1.7013980480084412,,,,
bb_2013_06_junho_pmcmv_18062013_tab_proponentes,treated,200,8,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,treated,200,11,separador_pipe,bb,2013-06-01,0.0,0,0,0,
bb_2013_07_julho_entrada_bb_20130716,treated,680,34,colunar_denso,bb,2013-07-16,2.9930795847750864,,,,
bb_2013_11_novembro_entrada_bb_20131120,treated,926,34,colunar_denso,bb,2013-11-20,3.0110532333883877,,,,
bb_2013_11_novembro_entrada_bb_20131204,treated,926,34,colunar_denso,bb,2013-12-04,3.01740566637022,,,,
bb_2013_12_dezembro_entrada_bb_20131218,treated,1002,34,colunar_denso,bb,2013-12-18,3.005753199483386,,,,
