"source_table","content_hash","file_size","canonical_table","is_duplicate"
caixa_001_2011_10_outubro_pmcmv_20111025,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2011_10_outubro_pmcmv_automatizado_novo_13102011,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2011_10_outubro_pmcmv_automatizado_novo_20102011,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2011_11_novembro_relat_rio_executivo_mcid_21_11_11,e73a2bd371bceee2a5f1eaeb0830c19f,13686,caixa_001_2011_11_novembro_relat_rio_executivo_mcid_21_11_11,false
caixa_001_2011_11_novembro_relatório_executivo_mcid_21_11_11,e73a2bd371bceee2a5f1eaeb0830c19f,13686,caixa_001_2011_11_novembro_relat_rio_executivo_mcid_21_11_11,true
caixa_001_2012_01_janeiro_pmcmv_relatorio_executivo_23012012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_01_janeiro_pmcmv_relatorio_executivo_27012012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_01_janeiro_pmcmv_relatorio_executivo_31012012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_03_marco_pmcmv_relatorio_executivo_09_03_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_03_marco_pmcmv_relatorio_executivo_16_03_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_03_marco_pmcmv_relatorio_executivo_27_03_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_03_marco_pmcmv_relatorio_executivo_31_03_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
caixa_001_2012_04_abril_2012_04_18_5b1_base_empreend_contratado,"04851620a564e51acaf7eb729e4dbdd6",7954,caixa_001_2012_04_abril_2012_04_18_5b1_base_empreend_contratado,false
caixa_001_2012_04_abril_2012_04_18_5b_empreend_contratado,c1adca7fb0c2757ccca51cc31388f396,6272,caixa_001_2012_04_abril_2012_04_18_5b_empreend_contratado,false
caixa_001_2012_04_abril_2012_04_18_5c1__base_contrata__o_pf,bddd068994781461fdcd5ebf1231c2e2,30184,caixa_001_2012_04_abril_2012_04_18_5c1__base_contrata__o_pf,false
caixa_001_2012_04_abril_2012_04_18_5c_base_contrata__o_pf,"1de97b16c55444c2e55ca0aa12d225a6",33914,_001_2012_04_abril_2012_04_18_5c_base_contratação_pf_18042012,true
caixa_001_2012_04_abril_2012_04_18_rural_18042012,"905d71d278c9a55ee9eacdb2523e8ce1",2884,caixa_001_2012_04_abril_2012_04_18_rural_18042012,false
caixa_001_2012_04_abril_2012_04_30_ajustada_caixa_5d_base_bext,d4ffccc5746f6fd0b89855851a1a4ace,6942,caixa_001_2012_04_abril_2012_04_30_ajustada_caixa_5d_base_bext,false
caixa_001_2012_04_abril_5b1_base_empreend_contratado,"04851620a564e51acaf7eb729e4dbdd6",7954,caixa_001_2012_04_abril_2012_04_18_5b1_base_empreend_contratado,true
caixa_001_2012_04_abril_pmcmv_relatorio_executivo_18_04_2012,"15b3d393766ac87369e54837bbb8cb58",536,"001_2012_02_fevereiro_base_pmcmv_relatorio_executivo_10_02_2012",true
