table_name,status,n_rows,n_cols,profile,institution,report_date,missing_pct,encoding_issues,date_parse_errors,type_coercion_warnings,error,evidence_quality_file,classificacao_formacao,classificacao_confidence,n_linhas,n_colunas,status_tratamento,perfil,score_utilidade_preditiva,canonical_table,content_hash,is_duplicate,file_size,treated_exists,flag_revisao
bb_2012_10_outubro_entrada_bb_20121031_ajustada,treated,176,34,colunar_denso,bb,2012-10-01,2.606951871657754,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,88,34,tratado,colunar_denso,4,bb_2012_10_outubro_entrada_bb_20121031_ajustada,33660a1eac76bc2410b616b1f0361e9f,false,176,False,
bb_2012_11_novembro_entrada_bb_20121113,treated,304,34,colunar_denso,bb,2012-11-13,8.204334365325078,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,152,34,tratado,colunar_denso,4,bb_2012_11_novembro_entrada_bb_20121113,9a95b785877df9775019758a52825e97,false,604,False,
bb_2012_11_novembro_entrada_bb_20121119,treated,298,34,colunar_denso,bb,2012-11-19,4.105803395183577,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,149,34,tratado,colunar_denso,4,bb_2012_11_novembro_entrada_bb_20121119,64fee8a37646f8faef8527ecd370b557,false,604,False,
bb_2012_11_novembro_entrada_bb_20121127,treated,308,34,colunar_denso,bb,2012-11-27,3.8579067990832696,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,154,34,tratado,colunar_denso,4,bb_2012_11_novembro_entrada_bb_20121127,402727a2c93c623eb57fbfc3ca2023df,false,308,False,
bb_2012_11_novembro_entrada_bb_20121127v2,treated,310,34,colunar_denso,bb,2012-11-01,3.0550284629981026,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,155,34,tratado,colunar_denso,4,bb_2012_11_novembro_entrada_bb_20121127v2,1f47020daf24350807fa156a89eaf88f,false,604,False,
bb_2012_11_novembro_entrada_bb_20121130,treated,308,34,colunar_denso,bb,2012-11-30,2.750190985485103,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,154,34,tratado,colunar_denso,4,bb_2012_11_novembro_entrada_bb_20121130,ed79465af3e591032867a023e4c01ee2,false,308,False,
bb_2012_12_dezembro_entrada_bb_20121210,treated,308,34,colunar_denso,bb,2012-12-10,2.750190985485103,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,154,34,tratado,colunar_denso,4,bb_2012_12_dezembro_entrada_bb_20121210,a74637ce5f0139a3af73832eb2539122,false,308,False,
bb_2012_12_dezembro_entrada_bb_20121217,treated,310,34,colunar_denso,bb,2012-12-17,3.0550284629981026,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,155,34,tratado,colunar_denso,4,bb_2012_12_dezembro_entrada_bb_20121217,65d618e4c2b5fba9b8c24b1c1db5da05,false,604,False,
bb_2012_12_dezembro_entrada_bb_20121228,treated,516,34,colunar_denso,bb,2012-12-28,2.827177382580939,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2012_12_dezembro_entrada_bb_20121228,f38a88f223890b9ccd3627e2611897a5,false,516,False,
bb_2013_01_janeiro_entrada_bb_20130107,treated,578,34,colunar_denso,bb,2013-01-07,10.97089354773051,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_01_janeiro_entrada_bb_20130107,7f97afe29ce456f96ccc9bd50b635259,false,604,False,
bb_2013_01_janeiro_entrada_bb_20130121,treated,516,34,colunar_denso,bb,2013-01-21,2.827177382580939,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_01_janeiro_entrada_bb_20130121,98c291fe7b484407ce306aeec5578987,false,516,False,
bb_2013_01_janeiro_entrada_bb_20130128,treated,516,34,colunar_denso,bb,2013-01-28,2.827177382580939,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_01_janeiro_entrada_bb_20130128,240bbb9c75d36076118e7c4ec26b3a6d,false,516,False,
bb_2013_02_fevereiro_entrada_bb_20130205,treated,516,34,colunar_denso,bb,2013-02-05,2.827177382580939,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_02_fevereiro_entrada_bb_20130205,2384f0dd8b41346a904f0cbc31e60df3,false,516,False,
bb_2013_02_fevereiro_entrada_bb_20130219,treated,518,34,colunar_denso,bb,2013-02-19,3.0093118328412447,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_02_fevereiro_entrada_bb_20130219,c5ed354435ca6f0e0531df05ec32e0dc,false,520,False,
bb_2013_02_fevereiro_entrada_bb_20130226,treated,516,34,colunar_denso,bb,2013-02-26,2.827177382580939,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_02_fevereiro_entrada_bb_20130226,15e9baefee2c87525b9d008a41b49ef3,false,516,False,
bb_2013_03_marco_entrada_bb_20130305,treated,518,34,colunar_denso,bb,2013-03-05,3.0093118328412447,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_03_marco_entrada_bb_20130305,a9cc466927112352074d25b800f44ed0,false,604,False,
bb_2013_03_marco_entrada_bb_20130318,treated,518,34,colunar_denso,bb,2013-03-18,3.0093118328412447,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_03_marco_entrada_bb_20130318,5f97295bb2c15bbaaf6b93f62586a96a,false,604,False,
bb_2013_03_marco_entrada_bb_20130401,treated,516,34,colunar_denso,bb,2013-04-01,2.827177382580939,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_03_marco_entrada_bb_20130401,dcaa38af2193040b0fd5e602abafb8ad,false,516,False,
bb_2013_03_marco_entrada_bb_20130415,treated,550,34,colunar_denso,bb,2013-04-15,3.0053475935828877,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_03_marco_entrada_bb_20130415,485f973f473e186a8a53abef6cc2dd46,false,604,False,
bb_2013_04_abril_entrada_bb_20130429,treated,552,34,colunar_denso,bb,2013-04-29,3.0051150895140664,,,,,/home/juan-pablo/CIDADES/data-application-cidades/data-science/dados-historicos-tratamento/data/_qualidade_202606281215_perfil_cidades_dados_historicos.csv,bem_formada,medium,200,34,tratado,colunar_denso,4,bb_2013_04_abril_entrada_bb_20130429,61d46bab26543e1c1aa11540db1fd18b,false,604,False,
