chave,padrao,qtd_tabelas_sftp,qtd_tabelas_dump,tabelas_exemplo
nu_apf,\bnu_apf\b,94,2,gefus_anteriores_202310_int054_ministeriocidades_far_bb_e; gefus_anteriores_202311_int054_ministeriocidades_far_bb_e; gefus_anteriores_202312_caixa_int040_ministeriocidades_fa
municipio,\bmunicipio\b,89,7,_202406_snh_pmcmv_dados_prioritarios_af_caixa; _202407_snh_pmcmv_dados_prioritarios_af_caixa; _202409_snh_pmcmv_dados_prioritarios_af_caixa
