key,size_mb,tags_preditive,sep_inferido,qtd_colunas_header,colunas_header,primeiras_linhas
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251024.csv,0.055,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
24/10/2025;CAIXA;63449276;ES;MANTENOPOLIS;3203304;VALE A PENA SONHA E LUTAR                                   ;RURAL;01/09/2025;2.325.000,00;31
24/10/2025;CAIXA;63468720;BA;PARATINGA;2923704;PARIPIRANGA                                                 ;RURAL;01/09/2025;3.075.000,00;41
24/10/2025;CAIXA;63469181;BA;PRESIDENTE JANIO QUADROS;2925709;PRESIDENTE JANIO QUADROS                                    ;RURAL;01/09/2025;3.750.000,00;50
24/10/2025;CAIXA;63474188;CE;CAUCAIA;2303709;ATAMBARE                                                    ;RURAL;01/09/2025;3.450.000,00;46"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250919.csv,0.037,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
19/09/2025;CAIXA;63613378;PE;AGUAS BELAS;2600500;ALDEAMENTO FULNI                                            ;RURAL;01/08/2025;3.750.000,00;50
19/09/2025;CAIXA;63786224;TO;SAMPAIO;1718808;SAMPAIO                                                     ;RURAL;01/08/2025;3.600.000,00;48
19/09/2025;CAIXA;63516767;BA;SALVADOR;2927408;RESIDENCIAL ANTONIO ALDEBARAN                               ;Entidades;01/08/2025;2.975.814,76;128
19/09/2025;CAIXA;63543835;RS;VIAMAO;4323002;CONDOMINIO TRAVESSA SAO PAULO                               ;Entidades;01/08/2025;2.681.551,26;128"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250912.csv,0.02,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
12/09/2025;CAIXA;63786224;TO;SAMPAIO;1718808;SAMPAIO                                                     ;RURAL;01/08/2025;3.600.000,00;48
12/09/2025;CAIXA;63770843;PB;MANAIRA;2509008;OS FONSECA                                                  ;RURAL;01/08/2025;3.450.000,00;46
12/09/2025;CAIXA;63547609;SE;ARACAJU;2800308;CONDOMINIO BEATRIZ NASCIMENTO                               ;Entidades;01/09/2025;2.956.090,50;132
12/09/2025;CAIXA;63449276;ES;MANTENOPOLIS;3203304;VALE A PENA SONHA E LUTAR                                   ;RURAL;01/09/2025;2.325.000,00;31"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251114.csv,0.02,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
14/11/2025;CAIXA;63655367;RO;PRESIDENTE MEDICI;1100254;BEM VIVER                                                   ;RURAL;01/10/2025;675.000,00;9
14/11/2025;CAIXA;63655586;RO;PRESIDENTE MEDICI;1100254;CHICO MENDES                                                ;RURAL;01/10/2025;300.000,00;4
14/11/2025;CAIXA;63655921;RO;ROLIM DE MOURA;1100288;TERRA PROMETIDA E MENDES                                    ;RURAL;01/10/2025;600.000,00;8
14/11/2025;CAIXA;63663328;SP;RIBEIRAO GRANDE;3543253;RIBEIRAO GRANDE                                             ;RURAL;01/10/2025;1.875.000,00;25"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251003.csv,0.019,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
03/10/2025;CAIXA;63668221;SE;UMBAUBA;2807600;AMARILDO DOS SANTOS                                         ;RURAL;01/09/2025;2.850.000,00;38
03/10/2025;CAIXA;63666951;SE;SANTA LUZIA DO ITANHY;2806305;EMPREENDIMENTO PESCADOR ARTESANAL                           ;RURAL;01/09/2025;3.375.000,00;45
03/10/2025;CAIXA;63758451;MA;RAPOSA;2109452;RAPOSA                                                      ;RURAL;01/09/2025;1.800.000,00;24
03/10/2025;CAIXA;63776438;PE;MACHADOS;2609105;MACHADOS                                                    ;RURAL;01/09/2025;1.575.000,00;21"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251107.csv,0.018,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
07/11/2025;CAIXA;63537582;PI;PAES LANDIM;2207306;PAES LANDIM BAIRRO NOVO PROJETO                             ;Entidades;01/10/2025;6.835.054,71;50
07/11/2025;CAIXA;63545660;SP;SAO JOSE DO RIO PARDO;3549706;EMPREEDIMENTO HELIO NAVARRO                                 ;Entidades;01/10/2025;16.712.761,14;81
07/11/2025;CAIXA;63663328;SP;RIBEIRAO GRANDE;3543253;RIBEIRAO GRANDE                                             ;RURAL;01/10/2025;1.875.000,00;25
07/11/2025;CAIXA;63655367;RO;PRESIDENTE MEDICI;1100254;BEM VIVER                                                   ;RURAL;01/10/2025;675.000,00;9"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251031.csv,0.018,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
31/10/2025;CAIXA;63478066;GO;BALIZA;5203104;BALIZA                                                      ;RURAL;01/10/2025;1.050.000,00;14
31/10/2025;CAIXA;63478516;GO;CATALAO;5205109;CATALAO                                                     ;RURAL;01/10/2025;900.000,00;12
31/10/2025;CAIXA;63482820;GO;SANCLERLANDIA;5219001;SANCLERLANDIA                                               ;RURAL;01/10/2025;450.000,00;6
31/10/2025;CAIXA;63490125;MA;BELAGUA;2101731;BELAGUA II                                                  ;RURAL;01/10/2025;3.675.000,00;49"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20251017.csv,0.013,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
17/10/2025;CAIXA;63526333;MG;BURITIZEIRO;3109402;ALTO SAO FRANCISCO II                                       ;Entidades;01/10/2025;7.865.715,00;50
17/10/2025;CAIXA;63526447;MG;BURITIZEIRO;3109402;CONJUNTO HABITACIONAL ALTO SAO FRANCISCO I                  ;Entidades;01/10/2025;15.731.430,00;100
17/10/2025;CAIXA;63533717;PR;RONDON;4122602;RONDON PARANA                                               ;Entidades;01/10/2025;6.028.992,93;29
17/10/2025;CAIXA;63537582;PI;PAES LANDIM;2207306;PAES LANDIM BAIRRO NOVO PROJETO                             ;Entidades;01/10/2025;6.835.054,71;50"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250926.csv,0.011,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
26/09/2025;CAIXA;63666951;SE;SANTA LUZIA DO ITANHY;2806305;EMPREENDIMENTO PESCADOR ARTESANAL                           ;RURAL;01/09/2025;3.375.000,00;45
26/09/2025;CAIXA;63668221;SE;UMBAUBA;2807600;AMARILDO DOS SANTOS                                         ;RURAL;01/09/2025;2.850.000,00;38
26/09/2025;CAIXA;63758451;MA;RAPOSA;2109452;RAPOSA                                                      ;RURAL;01/09/2025;1.800.000,00;24
26/09/2025;CAIXA;63776438;PE;MACHADOS;2609105;MACHADOS                                                    ;RURAL;01/09/2025;1.575.000,00;21"
raw/Dados_Prioritarios_Contratacoes_MCMV_FAR_FDS_RURAL_Semanal_20250905.csv,0.009,"contratacao_uh,far,fds_entidades,rural_fnhis,prioritarios_snh",;,11,﻿Data de Movimento | Agente Financeiro | APF | UF | Município | Código IBGE do Município | Nome Empreendimento | Modalidade | Data de Contratação | Valor Contratado | UH Contratadas,"﻿Data de Movimento;Agente Financeiro;APF;UF;Município;Código IBGE do Município;Nome Empreendimento;Modalidade;Data de Contratação;Valor Contratado;UH Contratadas
05/09/2025;CAIXA;63449944;ES;VILA VALERIO;3205176;ASPEPRO MORAR MELHOR                                        ;RURAL;01/08/2025;450.000,00;6
05/09/2025;CAIXA;63613378;PE;AGUAS BELAS;2600500;ALDEAMENTO FULNI                                            ;RURAL;01/08/2025;3.750.000,00;50
05/09/2025;CAIXA;63516767;BA;SALVADOR;2927408;RESIDENCIAL ANTONIO ALDEBARAN                               ;Entidades;01/08/2025;2.975.814,76;128
05/09/2025;CAIXA;63543835;RS;VIAMAO;4323002;CONDOMINIO TRAVESSA SAO PAULO                               ;Entidades;01/08/2025;2.681.551,26;128"
