bucket,prefixo_consultado,object_name,top_prefix,filename,extension,category,size_bytes,last_modified,periodo_inferido,fonte_inferida,frente_inferida,frente_primaria,filename_norm,stem_norm,object_norm
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2021_fgts_canal_tab_dbo_pc_2021_03_orcamento_final.csv,raw,tpc_2021_fgts_canal_tab_dbo_pc_2021_03_orcamento_final.csv,.csv,dado_tabular_ou_serializado,23369,2026-08-13T01:00:28.362000+00:00,2021-03,fgts,fgts_financiado,fgts_financiado,tpc_2021_fgts_canal_tab_dbo_pc_2021_03_orcamento_final_csv,tpc_2021_fgts_canal_tab_dbo_pc_2021_03_orcamento_final,raw_sharepoint_tpc_2021_fgts_canal_tab_dbo_pc_2021_03_orcamento_final_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2021_fgts_canal_tab_dbo_pc_2021_04_pro_cotista_faixa_estend.csv,raw,tpc_2021_fgts_canal_tab_dbo_pc_2021_04_pro_cotista_faixa_estend.csv,.csv,dado_tabular_ou_serializado,34576,2026-08-13T01:00:28.263000+00:00,2021-04,fgts,fgts_financiado,fgts_financiado,tpc_2021_fgts_canal_tab_dbo_pc_2021_04_pro_cotista_faixa_estend_csv,tpc_2021_fgts_canal_tab_dbo_pc_2021_04_pro_cotista_faixa_estend,raw_sharepoint_tpc_2021_fgts_canal_tab_dbo_pc_2021_04_pro_cotista_faixa_estend_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2021_fgts_canal_tab_dbo_pc_2021_05_programas.csv,raw,tpc_2021_fgts_canal_tab_dbo_pc_2021_05_programas.csv,.csv,dado_tabular_ou_serializado,1555529,2026-08-13T01:00:28.486000+00:00,2021-05,fgts,fgts_financiado,fgts_financiado,tpc_2021_fgts_canal_tab_dbo_pc_2021_05_programas_csv,tpc_2021_fgts_canal_tab_dbo_pc_2021_05_programas,raw_sharepoint_tpc_2021_fgts_canal_tab_dbo_pc_2021_05_programas_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2022_fgts_canal_tab_dbo_pc_2022_01_financiamento_pf_pj.csv,raw,tpc_2022_fgts_canal_tab_dbo_pc_2022_01_financiamento_pf_pj.csv,.csv,dado_tabular_ou_serializado,133776406,2026-08-13T01:00:27.788000+00:00,2022-01,fgts,fgts_financiado,fgts_financiado,tpc_2022_fgts_canal_tab_dbo_pc_2022_01_financiamento_pf_pj_csv,tpc_2022_fgts_canal_tab_dbo_pc_2022_01_financiamento_pf_pj,raw_sharepoint_tpc_2022_fgts_canal_tab_dbo_pc_2022_01_financiamento_pf_pj_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2022_fgts_canal_tab_dbo_pc_2022_02_orcamento_final.csv,raw,tpc_2022_fgts_canal_tab_dbo_pc_2022_02_orcamento_final.csv,.csv,dado_tabular_ou_serializado,6424,2026-08-13T01:00:27.966000+00:00,2022-02,fgts,fgts_financiado,fgts_financiado,tpc_2022_fgts_canal_tab_dbo_pc_2022_02_orcamento_final_csv,tpc_2022_fgts_canal_tab_dbo_pc_2022_02_orcamento_final,raw_sharepoint_tpc_2022_fgts_canal_tab_dbo_pc_2022_02_orcamento_final_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2022_fgts_canal_tab_dbo_pc_2022_03_programas.csv,raw,tpc_2022_fgts_canal_tab_dbo_pc_2022_03_programas.csv,.csv,dado_tabular_ou_serializado,1796083,2026-08-13T01:00:28.131000+00:00,2022-03,fgts,fgts_financiado,fgts_financiado,tpc_2022_fgts_canal_tab_dbo_pc_2022_03_programas_csv,tpc_2022_fgts_canal_tab_dbo_pc_2022_03_programas,raw_sharepoint_tpc_2022_fgts_canal_tab_dbo_pc_2022_03_programas_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2022_fgts_canal_tdom_faixa_renda.csv,raw,tpc_2022_fgts_canal_tdom_faixa_renda.csv,.csv,dado_tabular_ou_serializado,921,2026-08-13T01:00:27.184000+00:00,,fgts,fgts_financiado,fgts_financiado,tpc_2022_fgts_canal_tdom_faixa_renda_csv,tpc_2022_fgts_canal_tdom_faixa_renda,raw_sharepoint_tpc_2022_fgts_canal_tdom_faixa_renda_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2023_fgts_canal_tab_dbo_pc_2023_01_financiamento_pf_pj.csv,raw,tpc_2023_fgts_canal_tab_dbo_pc_2023_01_financiamento_pf_pj.csv,.csv,dado_tabular_ou_serializado,171679843,2026-08-13T01:00:27.093000+00:00,2023-01,fgts,fgts_financiado,fgts_financiado,tpc_2023_fgts_canal_tab_dbo_pc_2023_01_financiamento_pf_pj_csv,tpc_2023_fgts_canal_tab_dbo_pc_2023_01_financiamento_pf_pj,raw_sharepoint_tpc_2023_fgts_canal_tab_dbo_pc_2023_01_financiamento_pf_pj_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2023_fgts_canal_tab_dbo_pc_2023_02_orcamento_final.csv,raw,tpc_2023_fgts_canal_tab_dbo_pc_2023_02_orcamento_final.csv,.csv,dado_tabular_ou_serializado,6296,2026-08-13T01:00:16.901000+00:00,2023-02,fgts,fgts_financiado,fgts_financiado,tpc_2023_fgts_canal_tab_dbo_pc_2023_02_orcamento_final_csv,tpc_2023_fgts_canal_tab_dbo_pc_2023_02_orcamento_final,raw_sharepoint_tpc_2023_fgts_canal_tab_dbo_pc_2023_02_orcamento_final_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2023_fgts_canal_tab_dbo_pc_2023_03_programas.csv,raw,tpc_2023_fgts_canal_tab_dbo_pc_2023_03_programas.csv,.csv,dado_tabular_ou_serializado,1957088,2026-08-13T01:00:16.805000+00:00,2023-03,fgts,fgts_financiado,fgts_financiado,tpc_2023_fgts_canal_tab_dbo_pc_2023_03_programas_csv,tpc_2023_fgts_canal_tab_dbo_pc_2023_03_programas,raw_sharepoint_tpc_2023_fgts_canal_tab_dbo_pc_2023_03_programas_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2023_fgts_canal_tdom_faixa_renda.csv,raw,tpc_2023_fgts_canal_tdom_faixa_renda.csv,.csv,dado_tabular_ou_serializado,921,2026-08-13T01:00:16.990000+00:00,,fgts,fgts_financiado,fgts_financiado,tpc_2023_fgts_canal_tdom_faixa_renda_csv,tpc_2023_fgts_canal_tdom_faixa_renda,raw_sharepoint_tpc_2023_fgts_canal_tdom_faixa_renda_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2024_fgts_canal_tab_dbo_pc_2024_01_financiamento_pf_pj.csv,raw,tpc_2024_fgts_canal_tab_dbo_pc_2024_01_financiamento_pf_pj.csv,.csv,dado_tabular_ou_serializado,207446138,2026-08-13T01:00:16.706000+00:00,2024-01,fgts,fgts_financiado,fgts_financiado,tpc_2024_fgts_canal_tab_dbo_pc_2024_01_financiamento_pf_pj_csv,tpc_2024_fgts_canal_tab_dbo_pc_2024_01_financiamento_pf_pj,raw_sharepoint_tpc_2024_fgts_canal_tab_dbo_pc_2024_01_financiamento_pf_pj_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2024_fgts_canal_tab_dbo_pc_2024_02_orcamento_final.csv,raw,tpc_2024_fgts_canal_tab_dbo_pc_2024_02_orcamento_final.csv,.csv,dado_tabular_ou_serializado,7629,2026-08-13T01:00:15.782000+00:00,2024-02,fgts,fgts_financiado,fgts_financiado,tpc_2024_fgts_canal_tab_dbo_pc_2024_02_orcamento_final_csv,tpc_2024_fgts_canal_tab_dbo_pc_2024_02_orcamento_final,raw_sharepoint_tpc_2024_fgts_canal_tab_dbo_pc_2024_02_orcamento_final_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2024_fgts_canal_tab_dbo_pc_2024_03_programas.csv,raw,tpc_2024_fgts_canal_tab_dbo_pc_2024_03_programas.csv,.csv,dado_tabular_ou_serializado,2572131,2026-08-13T01:00:16.019000+00:00,2024-03,fgts,fgts_financiado,fgts_financiado,tpc_2024_fgts_canal_tab_dbo_pc_2024_03_programas_csv,tpc_2024_fgts_canal_tab_dbo_pc_2024_03_programas,raw_sharepoint_tpc_2024_fgts_canal_tab_dbo_pc_2024_03_programas_csv
data-lake-mcid,raw/sharepoint/,raw/sharepoint/tpc_2024_fgts_canal_tdom_faixa_renda.csv,raw,tpc_2024_fgts_canal_tdom_faixa_renda.csv,.csv,dado_tabular_ou_serializado,985,2026-08-13T01:00:15.909000+00:00,,fgts,fgts_financiado,fgts_financiado,tpc_2024_fgts_canal_tdom_faixa_renda_csv,tpc_2024_fgts_canal_tdom_faixa_renda,raw_sharepoint_tpc_2024_fgts_canal_tdom_faixa_renda_csv
