programa,frente,arquivo,linhas,colunas,colunas_header
Novo MCMV / FNHIS,FNHIS Sub-50,raw/novo_mcmv_fnhis_sub_50_propostas_apresentadas.csv,7121,9,municipio | proponente | total_de_uh | numero_da_proposta | situacao_da_proposta | justificativa_nao_enquadramento | cod_ibge_munic_beneficiado | arquivo_de_origem | criado_em
Novo MCMV / FNHIS,FNHIS Sub-50,raw/novo_mcmv_fnhis_sub_50_propostas_selecionadas.csv,1207,22,data_consulta | codigo_programa | num_proposta | sit_contratacao | situacao_proposta | modalidade | vl_repasse_proposta | vl_empenhado_pre_convenio | valor_de_repasse | valor_de_contrapartida | valor_empenhado_acumulado | objeto | uf | municipio | regiao | nome_proponente | situacao_instrumento | data_assinatura | cnpj | num_reservado_pac | arquivo_de_origem | criado_em
