key,layer,extension,size_bytes,size_mb,last_modified,year_hint,tags_preditive,score_preditivo
staging/MC20260417__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:26:25.118000+00:00,2026.0,,0
staging/MC20260424__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:27:54.844000+00:00,2026.0,,0
staging/MC20260430__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:29:25.526000+00:00,2026.0,,0
staging/MC20260508__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:30:55.150000+00:00,2026.0,,0
staging/MC20260515__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:32:25.417000+00:00,2026.0,,0
staging/MC20260522__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:33:56.402000+00:00,2026.0,,0
staging/MC20260529__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:35:29.023000+00:00,2026.0,,0
staging/MC20260605__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:37:01.496000+00:00,2026.0,,0
staging/MC20260612__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:38:35.817000+00:00,2026.0,,0
staging/MC20260619__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:40:09.778000+00:00,2026.0,,0
staging/MC20260630__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:41:57.833000+00:00,2026.0,,0
staging/MC20260703__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:43:31.177000+00:00,2026.0,,0
staging/MC20260710__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3453,0.003,2026-07-17T03:45:04.508000+00:00,2026.0,,0
staging/MC20251212__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T02:57:31.578000+00:00,2025.0,,0
staging/MC20251219__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T02:59:09.115000+00:00,2025.0,,0
staging/MC20251226__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:00:49.949000+00:00,2025.0,,0
staging/MC20260102__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:02:29.819000+00:00,2026.0,,0
staging/MC20260109__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:04:12.818000+00:00,2026.0,,0
staging/MC20260116__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:05:52.225000+00:00,2026.0,,0
staging/MC20260123__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:07:32.717000+00:00,2026.0,,0
staging/MC20260204__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:09:12.457000+00:00,2026.0,,0
staging/MC20260206__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:10:36.774000+00:00,2026.0,,0
staging/MC20260213__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:11:57.512000+00:00,2026.0,,0
staging/MC20260220__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:13:24.242000+00:00,2026.0,,0
staging/MC20260227__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:14:55.332000+00:00,2026.0,,0
staging/MC20260306__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:16:16.613000+00:00,2026.0,,0
staging/MC20260313__MCidades_AO_1.mdb__operacoespj_pf.parquet,staging,parquet,3447,0.003,2026-07-17T03:17:39.249000+00:00,2026.0,,0
