escopo,tipo,arquivo_origem,caminho_relativo,nome,extensao,categoria,tamanho_bytes,modificado_em,periodo_inferido,fonte_inferida,frente_inferida,frente_primaria,detalhe_estrutura,erro
zip,arquivo,Geohabitação/Bases do Gabinete - Adam/PAR_BRASIL_POLIGONAIS.zip,PAR_BRASIL_POLIGONAIS.cpg,PAR_BRASIL_POLIGONAIS.cpg,.cpg,outro,5,2025-04-11T10:15:30+00:00,,nao_identificada,nao_classificado,nao_classificado,,
zip,arquivo,Geohabitação/Bases do Gabinete - Adam/PAR_BRASIL_POLIGONAIS.zip,PAR_BRASIL_POLIGONAIS.dbf,PAR_BRASIL_POLIGONAIS.dbf,.dbf,outro,4848787,2025-04-11T10:15:30+00:00,,nao_identificada,nao_classificado,nao_classificado,,
zip,arquivo,Novo MCMV - FAR/FAR - Consolidado/anexos_mcid.zip,HIS_MCIDADES_CONSOLIDADO_20260824.csv,HIS_MCIDADES_CONSOLIDADO_20260824.csv,.csv,dado_tabular_ou_serializado,7655127,2026-08-24T11:35:20+00:00,2026-08,nao_identificada,mcmv_geral;far,far,,
zip,arquivo,Novo MCMV - FAR/FAR - Consolidado/anexos_mcid.zip,HIS_MCIDADES_CONSOLIDADO_20260824.txt,HIS_MCIDADES_CONSOLIDADO_20260824.txt,.txt,dado_tabular_ou_serializado,53201488,2026-08-24T11:35:20+00:00,2026-08,nao_identificada,mcmv_geral;far,far,,
zip,arquivo,Oferta Pública/Arquivados/36. BASE OFERTA - CONSOLIDADA EM 30.01.2026 - Com Banco Morada.zip,36. BASE OFERTA - CONSOLIDADA EM 30.01.2026 - Com Banco Morada.xlsx,36. BASE OFERTA - CONSOLIDADA EM 30.01.2026 - Com Banco Morada.xlsx,.xlsx,dado_tabular_ou_serializado,105824058,2026-02-05T07:51:56+00:00,,nao_identificada,nao_classificado,nao_classificado,BASE CONSOLIDADA,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_03-06-2025 G.zip,FNHIS_SEMANAL_03-06-2025 G.xls,FNHIS_SEMANAL_03-06-2025 G.xls,.xls,dado_tabular_ou_serializado,2022912,2025-06-03T15:14:22+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_03-06-2025 M.zip,FNHIS_SEMANAL_03-06-2025.xls,FNHIS_SEMANAL_03-06-2025.xls,.xls,dado_tabular_ou_serializado,1658880,2025-06-03T15:09:10+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_04-08-2025 G.zip,FNHIS_SEMANAL_04-08-2025 G.xls,FNHIS_SEMANAL_04-08-2025 G.xls,.xls,dado_tabular_ou_serializado,2023424,2025-08-04T11:43:12+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,erro_zip,SNHIS/Arquivados/FNHIS_SEMANAL_05-05-2025.zip,,FNHIS_SEMANAL_05-05-2025.zip,.zip,arquivo_compactado,404,2026-08-29T15:50:00+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,,File is not a zip file
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_07-04-2025.zip,FNHIS_SEMANAL_07-04-2025.xls,FNHIS_SEMANAL_07-04-2025.xls,.xls,dado_tabular_ou_serializado,2025472,2025-04-07T12:54:48+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_09-06-2025 G.zip,FNHIS_SEMANAL_09-06-2025.xls,FNHIS_SEMANAL_09-06-2025.xls,.xls,dado_tabular_ou_serializado,2022912,2025-06-09T13:04:20+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_09-06-2025 M.zip,FNHIS_SEMANAL_09-06-2025.xlsx,FNHIS_SEMANAL_09-06-2025.xlsx,.xlsx,dado_tabular_ou_serializado,625700,2025-06-09T13:01:56+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,Worksheet,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_12-05-2025 G.zip,FNHIS_SEMANAL_12-05-2025 G.xls,FNHIS_SEMANAL_12-05-2025 G.xls,.xls,dado_tabular_ou_serializado,2022912,2025-05-12T16:13:00+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
zip,arquivo,SNHIS/Arquivados/FNHIS_SEMANAL_12-05-2025 M.zip,FNHIS_SEMANAL_12-05-2025 M.xls,FNHIS_SEMANAL_12-05-2025 M.xls,.xls,dado_tabular_ou_serializado,1665024,2025-05-12T16:09:32+00:00,,nao_identificada,sub50_fnhis,sub50_fnhis,erro_excel:`Import xlrd` failed. Install xlrd >= 2.0.1 for xls Excel support Use pip or conda to install the xlrd package.,
