table_name,classificacao_formacao,classificacao_confidence,classificacao_notes,inventario_formacao,inventario_status_tratamento,inventario_perfil,inventario_n_linhas,inventario_n_colunas,classificacao_utilidade,score_utilidade_preditiva,campos_uteis_preditiva,qualidade_status,qualidade_profile,qualidade_n_rows,qualidade_n_cols,missing_pct,error,dedup_content_hash,dedup_file_size,dedup_canonical_table,dedup_is_duplicate,amostra_bruta_existe,match_classificacao_inventario,match_qualidade_inventario,flag_revisao
018_int040_ministeriocidades_far_caixa_empreendimentos_20181001,bem_formada,medium,inconsistência de tipos entre colunas,bem_formada,tratado,colunar_denso,200,39,Alta,9,"dt_movimento, cod_municipio_ibge, nu_apf, situacao_obra_gefus, dt_assinatura, dt_inicio_obra, dt_ultima_liberacao_recurso, dt_termino_obra, dt_primeira_entrega, dt_ultima_entrega, percentual_obra_realizado, vlr_operacao, vr_investimento, vr_liberado, qt_unidades_concluidas, qt_unidades_entregues, cod_situacao_contrato_pj, desc_situacao_contrato, vr_contrapartida_1",error,bem_formada,0,0,0.0,Identifier '_018_int040_ministeriocidades_far_caixa_empreendimentos_20181001' exceeds maximum length of 63 characters,d4a4f850f5581bf13d31151234ca213f,8224,018_int040_ministeriocidades_far_caixa_empreendimentos_20181001,false,False,True,False,qualidade_vs_inventario;
024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,967729492f053c9eb651ddb18382e479,11724,024_10_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831,bem_formada,high,,bem_formada,tratado,colunar_denso,200,32,Alta,10,"dt_movimento, nu_apf, situacao_obra, dt_contratacao, dt_ultima_liberacao_recurso, dt_primeira_entrega, dt_ultima_entrega, percentual_obra_realizado, vr_emprestimo_far, vr_investimento, qt_unidades_concluidas, qt_unidades_entregues, situacao_retomada, no_municipio, sg_uf",error,bem_formada,0,0,0.0,Identifier '_1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831' exceeds maximum length of 63 characters,56e85a2a11749d21d85932baa0704f59,404,1_2018_int054_ministeriocidades_far_bb_empreendimentos_20180831,false,False,True,False,qualidade_vs_inventario;
202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,0a229f72f2f5564c895822079ba00a2d,11818,202402_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,9955591d1a629211935cfa7908e17266,11654,202406_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,69f356c2c8430dd390f86cd82796d00d,11666,202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,95efeaa4d3edc77f9a9158ac83a7c0e8,11676,202408_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,1487f2f5d9b3c2b5be2e7396a93c1af1,11702,202409_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,cb7e5f6953fcbb156d831d0821378029,11740,202411_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,b7f970377d54032debed0e8c7d7a78f0,11762,202412_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,74e03c2c614d20642a23f9d3ac7fc24c,11790,202501_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,e3ecbb65ec5a1d9b0b36127810c365d1,11836,202503_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,28ead9346510c81906602b50610e24d8,11850,202504_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,23d7c591cd4cc2526e55637a43fdb009,11856,202505_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,17b4b600d54dcabab3796f430231378c,11860,202506_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,6c79e56b3347e03d7aff587fbf6bfabd,11868,202507_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,bem_formada,high,,bem_formada,tratado,event_level,200,10,Baixa,4,"data_de_movimento, apf, dt_ass_doc, numero_de_unidades_entregues",error,bem_formada,0,0,0.0,Identifier '_202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb' exceeds maximum length of 63 characters,d669a7332777bc8c8e612afedb56e72b,11870,202508_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_bb,false,False,True,False,qualidade_vs_inventario;
