fonte_objeto,fonte_arquivo,cod_empreendimento,cod_contrato,cod_contrato_dv,Vlr_contratado,Vlr_investimento,dte_assinatura,dte_orcamento_ano,cod_area,cod_linha,cod_modalidade,cod_tomador,cod_af,cod_uor,cod_situacao_contrato,cod_clasificacao,cod_pac,cod_operacao_agente_financeiro,cod_operacao_agente_financeiro_dv,txt_rsgov,cod_objetivo,cod_Ident_Externo,txt_eixo,UF,descricao_linha,txt_nome_empreendimento,txt_localidade,txt_logradouro,cod_municipio,txt_projeto,qtd_unidades_financiadas,txt_objeto,qtd_populacao_beneficiada,qtd_empregos_gerados,qtd_unidades_financiadas_cca,situacao_contrato,modalidade,posicao_dte_ano_mes,posicao_prc_obra_executada_ult,posicao_DtInício,posicao_DtTérmino,posicao_DtInauguração,execucao_dte_ano_mes_avaliacao,execucao_prc_prev_acum_mes,execucao_prc_real_acum_mes,execucao_cod_situacao_obra,execucao_cod_execucao_obra,execucao_txt_providencias,execucao_dte_ultima_vistoria,qtd_desembolsos,vlr_liberado_total,ultimo_ano_desembolso,paralisacao_cod_contrato_dv,paralisacao_dias_sem_evolução,paralisacao_faixa_paralisacao,paralisacao_ultimo_motivo_paralisacao,paralisacao_ultima_descricao_motivo_paralisacao_preenchida,paralisacao_situacao_atual,paralisacao_ultimo_motivo_excecao,paralisacao_plano_acao_aprovado_af,paralisacao_termo_aditivo_assinado_tomador,paralisacao_data_base,paralisacao_dt_previsao_conclusao_objeto,paralisacao_cod_operacao_agente_financeiro,paralisacao_cod_operacao_agente_financeiro_dv,paralisacao_dt_ultimo_bm,paralisacao_ultimo_entrave_preenchido,contrato_join,termino_Operação,termino_NúmeroDoContrato,termino_data_entrega_para_PF,termino_data_termino_obra
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0035436,0035436,34,1202187.44,1541265.95,06/14/96 00:00:00,1996,2,26,003,71051,53000,7186,01,B2,N,0035436,34,,226003001,,,BA,HAB / PRO-MORADIA                         ,ARACAS I E II                                               ,NOVO ALAGADOS                                               ,ENSEADA DOS CABRITOS                                        ,1600,PRO-MORADIA / URB AREAS NAO OCUP SUB MIGD                                                                               ,278,PRO-MORADIA / URB AREAS NAO OCUP SUB MIGD                                                                               ,0,147,0,distratado,URBANIZ. AREAS NAO OCUPADAS               ,199803,0,06/14/96 00:00:00,02/01/97 00:00:00,03/01/97 00:00:00,199803,0,0,2,      ,,,,,,,,,,,,,,,,,,,,,3543634,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0035464,0035464,15,269935.45,337412.47,06/28/96 00:00:00,1996,2,26,002,68546,53000,7176,01,,N,0035464,15,,226002001,,,SP,HAB / PRO-MORADIA                         ,CONJ INTEGRACAO II                                          ,VILA ROSA                                                   ,CEL LICINIO S/N                                             ,2920,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,80,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,0,32,0,distratado,URBANIZ. AREAS OCUPADAS POR SUB-HABITACAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3546415,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0035482,0035482,94,296409.31,370606.09,06/28/96 00:00:00,1996,2,26,002,68546,53000,7176,01,,N,0035482,94,,226002001,,,SP,HAB / PRO-MORADIA                         ,CONJ INTEGRACAO I                                           ,VILA ROSA                                                   ,CEL LICINIO                                                 ,2920,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,91,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,0,35,0,distratado,URBANIZ. AREAS OCUPADAS POR SUB-HABITACAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3548294,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0035485,0035485,61,264347.42,330432.93,06/28/96 00:00:00,1996,2,26,002,68546,53000,7176,01,,N,0035485,61,,226002001,,,SP,HAB / PRO-MORADIA                         ,CONJ INTEGRACAO III                                         ,VILA ROSA                                                   ,CEL LICINIO                                                 ,2920,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,81,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,0,31,0,distratado,URBANIZ. AREAS OCUPADAS POR SUB-HABITACAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3548561,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0035488,0035488,25,164452.75,205557.31,06/28/96 00:00:00,1996,2,26,002,68546,53000,7176,01,,N,0035488,25,,226002001,,,SP,HAB / PRO-MORADIA                         ,CONJ INTEGRACAO IV                                          ,VILA ROSA                                                   ,CEL LICINIO                                                 ,2920,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,52,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,0,20,0,distratado,URBANIZ. AREAS OCUPADAS POR SUB-HABITACAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3548825,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0035498,0035498,39,535495.2,669392.5,06/28/96 00:00:00,1996,2,26,003,72347,53000,7176,01,,N,0035498,39,,226003001,,,SP,HAB / PRO-MORADIA                         ,BAIRRO DO TANQUINHO                                         ,TANQUINHO                                                   ,BAIRRO DO TANQUINHO                                         ,3379,PRO-MORADIA / URB AREAS NAO OCUP SUB MIGD                                                                               ,502,PRO-MORADIA / URB AREAS NAO OCUP SUB MIGD                                                                               ,0,64,0,distratado,URBANIZ. AREAS NAO OCUPADAS               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3549839,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0035502,0035502,47,97180,126536,06/28/96 00:00:00,1996,2,26,003,72638,53000,7176,01,,N,0035502,47,,226003001,,,SP,HAB / PRO-MORADIA                         ,CONJ HAB JARDIM BINCOLETTO                                  ,JD BINCOLETTO                                               ,JARDIM BINCOLETTO                                           ,3350,PRO-MORADIA / URB AREAS NAO OCUP SUB MIGD                                                                               ,77,PRO-MORADIA / URB AREAS NAO OCUP SUB MIGD                                                                               ,0,12,0,distratado,URBANIZ. AREAS NAO OCUPADAS               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550247,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0035504,0035504,88,301675.5,384300,06/28/96 00:00:00,1996,2,26,002,72601,53000,7176,01,,N,0035504,88,,226002001,,,SP,HAB / PRO-MORADIA                         ,VILA NOVA TAPIRAI                                           ,VL NOVA TAPIRAI                                             ,VILA NOVA TAPIRAI                                           ,3374,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,61,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,0,37,0,distratado,URBANIZ. AREAS OCUPADAS POR SUB-HABITACAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550488,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0035505,0035505,14,254462,324998.07,06/28/96 00:00:00,1996,2,26,002,68053,53000,7176,01,,N,0035505,14,,226002001,,,SP,HAB / PRO-MORADIA                         ,CONJ HAB GUAREI II                                          ,BAIRRO FAZENDA                                              ,BAIRRO FAZENDA                                              ,3025,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,50,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,0,31,0,distratado,URBANIZ. AREAS OCUPADAS POR SUB-HABITACAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550514,,,,
raw/sharepoint/Canal FGTS/MC20260306.zip,MCidades_AO_1.mdb + AO_2.mdb + AO_3.mdb,0035745,0035745,91,337941.86,375490.95,06/27/96 00:00:00,1996,2,26,002,68717,53000,7184,01,,N,0035745,91,,226002001,,,PE,HAB / PRO-MORADIA                         ,PROMORADIA(60UH) NA VILA DE BOM JESUS                       ,VILA BOM JESUS                                              ,VILA DE BOM JESUS                                           ,1251,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,0,PRO-MORADIA / URB AREAS OCUP SUB-HAB MIG                                                                                ,0,36,0,distratado,URBANIZ. AREAS OCUPADAS POR SUB-HABITACAO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3574591,,,,
