"table_name","column_name","data_type"
_202407_snh_pmcmv_dados_prioritarios_af_caixa,dt_ingest,text
_202407_snh_pmcmv_dados_prioritarios_af_caixa,arquivo_origem,text
_202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,data_de_movimento,text
_202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,agente_financeiro,text
_202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,apf,text
_202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,dt_ass_doc,text
_202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,numero_de_unidades_entregues,text
_202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,dt_ingest,text
_202407_snh_pmcmv_dados_prioritarios_da_entrega_da_unidade_af_b,arquivo_origem,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,data_de_movimento,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,agente_financeiro,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,apf,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,uf,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,municipio,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,codigo_ibge_do_municipio,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,nome_empreendimento,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,modalidade,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,situacao_do_empreendimento,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,classificacao_dos_paralisados,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,data_de_contratacao,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,exec,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,valor_contratado,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,valor_aporte_adicional,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,valor_desembolsado,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,uh_contratadas,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,uh_entregues,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,uh_vigentes,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,observacoes,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,mcmv_ogu_27_qtd_vigentes_janeiro_ano_dt_referencia,text
_202409_snh_pmcmv_dados_prioritarios_af_caixa,mcmv_ogu_28_qtd_entregues_ano_dt_referencia,text
