table_name,classificacao_antes,confidence_antes,status_antes,profile_antes,classificacao_corrigida,status_corrigido,profile_corrigido,n_rows_corrigido,n_cols_corrigido,raw_exists,treated_exists_antes,pipe_cells_amostra,raw_columns,erro_identificado,evidencia_erro,evidencia_correcao,como_consertar
bb_2013_06_junho_pmcmv_18062013_tab_andamento_obras,vazia,low,discarded,vazia,separador_|,treated,separador_pipe,1022,17,True,False,8,cod_operacaocod_sit_obracod_regime_construcaocod_pendencia_obra,"Classificacao antiga descartava tabela, mas a amostra bruta contem valores pipe-delimited.",Amostra DB tem 8 celulas com pipe em 8 linhas consultadas.,Split por pipe gera 17 colunas estruturadas e 1022 linhas brutas.,"Classificar como separador_|, reprocessar com tratar_separador_pipe() e manter teste de regressao para a familia tab_*."
bb_2013_06_junho_pmcmv_18062013_tab_arquivos_dados,dados_sem_utilidade,high,discarded,dados_sem_utilidade,separador_|,treated,separador_pipe,2,6,True,False,2,datacnpj_bbresp_arqtel_resp_arqe_mail_resp_arqdata_pos_arq,"Classificacao antiga descartava tabela, mas a amostra bruta contem valores pipe-delimited.",Amostra DB tem 2 celulas com pipe em 2 linhas consultadas.,Split por pipe gera 6 colunas estruturadas e 2 linhas brutas.,"Classificar como separador_|, reprocessar com tratar_separador_pipe() e manter teste de regressao para a familia tab_*."
bb_2013_06_junho_pmcmv_18062013_tab_caracterizacoes_entornos,vazia,low,discarded,vazia,separador_|,treated,separador_pipe,292,16,True,False,8,cod_operacaobln_empreendimento_hisbln_rede_abast_aguabln_coleta,"Classificacao antiga descartava tabela, mas a amostra bruta contem valores pipe-delimited.",Amostra DB tem 8 celulas com pipe em 8 linhas consultadas.,Split por pipe gera 16 colunas estruturadas e 292 linhas brutas.,"Classificar como separador_|, reprocessar com tratar_separador_pipe() e manter teste de regressao para a familia tab_*."
bb_2013_06_junho_pmcmv_18062013_tab_contratos_pj,vazia,low,discarded,vazia,separador_|,treated,separador_pipe,596,4,True,False,8,cod_contrato_pjcod_operacaocod_sit_contrato_pjdte_assin_contrat,"Classificacao antiga descartava tabela, mas a amostra bruta contem valores pipe-delimited.",Amostra DB tem 8 celulas com pipe em 8 linhas consultadas.,Split por pipe gera 4 colunas estruturadas e 596 linhas brutas.,"Classificar como separador_|, reprocessar com tratar_separador_pipe() e manter teste de regressao para a familia tab_*."
bb_2013_06_junho_pmcmv_18062013_tab_proponentes,vazia,low,discarded,vazia,separador_|,treated,separador_pipe,526,4,True,False,8,cod_cnpj_proponentecod_porte_construtorcod_nat_proponentetxt_ra,"Classificacao antiga descartava tabela, mas a amostra bruta contem valores pipe-delimited.",Amostra DB tem 8 celulas com pipe em 8 linhas consultadas.,Split por pipe gera 4 colunas estruturadas e 526 linhas brutas.,"Classificar como separador_|, reprocessar com tratar_separador_pipe() e manter teste de regressao para a familia tab_*."
bb_2013_06_junho_pmcmv_18062013_tab_unidades_concluidas,vazia,low,discarded,vazia,separador_|,treated,separador_pipe,1374,7,True,False,8,cod_operacaodte_legalizacaocod_motivo_ociosidadedte_primeira_en,"Classificacao antiga descartava tabela, mas a amostra bruta contem valores pipe-delimited.",Amostra DB tem 8 celulas com pipe em 8 linhas consultadas.,Split por pipe gera 7 colunas estruturadas e 1374 linhas brutas.,"Classificar como separador_|, reprocessar com tratar_separador_pipe() e manter teste de regressao para a familia tab_*."
