dataset_id,schema,table_name,dataset_front,sample_term,sharepoint_content_match,sharepoint_match_count,sharepoint_examples
82,entidades_fds,fds_ficha_empreendimento,entidades,RIO BRANCO I,True,1,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251110_040412_revSNH.xlsx
82,entidades_fds,fds_ficha_empreendimento,entidades,RIO BRANCO,True,1,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251110_040412_revSNH.xlsx
82,entidades_fds,fds_ficha_empreendimento,entidades,ASS DE MORADORES DO ACAMPAMENTO ESPERANCA DE UM NOVO MILENIO,True,22,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251010_040156.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251013_040232.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251014_040211.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251015_040228.csv
82,entidades_fds,fds_ficha_empreendimento,entidades,07367387000168,False,0,
82,entidades_fds,fds_ficha_empreendimento,entidades,63511426,True,22,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251010_040156.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251013_040232.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251014_040211.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251015_040228.csv
82,entidades_fds,fds_ficha_empreendimento,entidades,NOSSA SENHORA DAS BROTAS I,True,22,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251010_040156.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251013_040232.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251014_040211.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251015_040228.csv
82,entidades_fds,fds_ficha_empreendimento,entidades,ATALAIA,True,22,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251010_040156.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251013_040232.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251014_040211.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251015_040228.csv
82,entidades_fds,fds_ficha_empreendimento,entidades,COOPERATIVA HABITACIONAL DA CONSTRUCAO CIVIL,True,22,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251010_040156.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251013_040232.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251014_040211.csv | OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251015_040228.csv
82,entidades_fds,fds_ficha_empreendimento,entidades,02491661000192,False,0,
84,entidades_fds,fds_evolucao_financeira_chart,entidades,63512993,True,1,OneDrive_2026-08-19 (4).zip::Novo MCMV - FDS/Arquivados/Arquivo 2025 - Cad PJ/MONIT_CAD_PJ_FDS_20251009_040153.csv
